title,price,color,timestamp,url,buitenlaag,material,newarrival
Tuniekjurk van linnenmix,"€ 25,99",Lichtbeige,1679342189,https://www2.hm.com/nl_nl/productpage.1139036001.html,"Linnen 52%, Katoen 48%",Materiaal: Linnen,New Arrival
Push-up triangelbikinitop,"€ 17,99",Wit/bloemen,1679342227,https://www2.hm.com/nl_nl/productpage.1022736006.html,"Polyamide 85%, Elastaan 15%",No material,New Arrival
Denim rok,"€ 29,99",Licht denimblauw,1679342265,https://www2.hm.com/nl_nl/productpage.1110116001.html,"Voering zak:Polyester 65%, Katoen 35%
Buitenlaag:Katoen 100%",Materiaal: Denim,New Arrival
Single-breasted blazer van linnenmix,"€ 40,99",Gebroken wit,1679342302,https://www2.hm.com/nl_nl/productpage.1128713001.html,"Buitenlaag:Viscose 55%, Linnen 45%
Voeringen:Polyester 100%",No material,No New Arrival
Padded bikinitop,"€ 15,99",Groen,1679342339,https://www2.hm.com/nl_nl/productpage.1140360001.html,"Buitenlaag:Polyester 92%, Elastaan 8%
Voeringen:Polyester 89%, Elastaan 11%",No material,New Arrival
Double-breasted trenchcoat,"€ 49,99",Zwart,1679342377,https://www2.hm.com/nl_nl/productpage.1120770002.html,"Voeringen:Polyester 100%
Buitenlaag:Polyester 100%",No material,New Arrival
Oversized denim jack,"€ 49,99",Denimblauw,1679342414,https://www2.hm.com/nl_nl/productpage.1061301002.html,Katoen 100%,"Materiaal: Katoen, Denim",No New Arrival
Double-breasted blazer,"€ 35,99",Lichtbeige,1679342452,https://www2.hm.com/nl_nl/productpage.1127204006.html,"Buitenlaag:Polyester 92%, Viscose 8%
Voeringen:Polyester 100%",No material,No New Arrival
Sweater,"€ 17,99",Lichtpaars,1679342490,https://www2.hm.com/nl_nl/productpage.1159050006.html,"Katoen 60%, Polyester 40%",Materiaal: French Terry,No New Arrival
Blouse met kraag,"€ 15,99",Roomwit/dessin,1679342565,https://www2.hm.com/nl_nl/productpage.1146946003.html,"Viscose 84%, Polyamide 16%",No material,New Arrival
Flared legging,"€ 15,99",Zwart,1679342602,https://www2.hm.com/nl_nl/productpage.1035873001.html,"Polyester 97%, Elastaan 3%",Materiaal: Tricot,No New Arrival
Wollen blazer met eenknoopssluiting,"€ 159,00",Grijs,1679343468,https://www2.hm.com/nl_nl/productpage.1029716009.html,"Buitenlaag:Wol 100%
Voeringen:Viscose 100%",Materiaal: Wol,Premium SelectionNew Arrival
Crinklejurk met rijgsluiting,"€ 30,99",Zwart/dessin,1679343506,https://www2.hm.com/nl_nl/productpage.1154191001.html,"Polyester 73%, Polyamide 27%",No material,New Arrival
Double-breasted blazer,"€ 44,99",Wit,1679343543,https://www2.hm.com/nl_nl/productpage.1088727009.html,"Voeringen:Polyester 100%
Buitenlaag:Polyester 94%, Elastaan 6%",No material,New Arrival
Pantalon,"€ 27,99",Zwart,1679343581,https://www2.hm.com/nl_nl/productpage.1036648008.html,"Voering zak:Polyester 100%
Buitenlaag:Polyester 67%, Viscose 29%, Elastaan 4%",No material,No New Arrival
Utilityjack van katoenen twill,"€ 42,99",Licht kakigroen,1679343618,https://www2.hm.com/nl_nl/productpage.1131105001.html,Katoen 100%,"Materiaal: Katoen, Twill",New Arrival
Skinny High Jeans,"€ 20,99",Donker denimblauw,1679343656,https://www2.hm.com/nl_nl/productpage.1025457006.html,"Katoen 73%, Polyester 25%, Elastaan 2%",Materiaal: Denim,No New Arrival
Structuurgeweven overslagjurk,"€ 109,00",Zwart,1679343693,https://www2.hm.com/nl_nl/productpage.1139916001.html,"Voeringen:Lyocell 100%
Buitenlaag:Viscose 100%",No material,Premium SelectionNew Arrival
Wijde broek van linnenmix,"€ 27,99",Donkerbruin,1679343730,https://www2.hm.com/nl_nl/productpage.1073666003.html,Linnen 100%,Materiaal: Linnen,Premium SelectionNew Arrival
Plooirok,"€ 34,99",Lichtbeige,1679343768,https://www2.hm.com/nl_nl/productpage.0998124011.html,Polyester 100%,No material,No New Arrival
Single-breasted blazer,"€ 35,99",Cerise,1679343805,https://www2.hm.com/nl_nl/productpage.1128669002.html,"Buitenlaag:Viscose 77%, Polyester 23%
Voeringen:Polyester 100%",No material,New Arrival
Double-breasted trenchcoat,"€ 59,99",Zwart,1679343843,https://www2.hm.com/nl_nl/productpage.1115457003.html,"Voeringen:Polyester 100%
Buitenlaag:Katoen 100%",No material,No New Arrival
Pointelle-knit top,"€ 25,99",Wit,1679343880,https://www2.hm.com/nl_nl/productpage.1142153001.html,"Katoen 60%, Acryl 40%",No material,New Arrival
Broek van linnenmix met smal toelopende pijpen,"€ 30,99",Lichtbeige,1679343919,https://www2.hm.com/nl_nl/productpage.1141525002.html,"Viscose 56%, Linnen 44%",No material,No New Arrival
Getailleerde blazer,"€ 39,99",Wit,1679343957,https://www2.hm.com/nl_nl/productpage.0987022013.html,"Buitenlaag:Polyester 96%, Elastaan 4%
Voeringen:Polyester 100%",No material,No New Arrival
Geribde tanktop,"€ 9,99",Wit,1679343996,https://www2.hm.com/nl_nl/productpage.1099913003.html,"Katoen 95%, Elastaan 5%","Materiaal: Katoen, Tricot",No New Arrival
Oversized single-breasted blazer,"€ 79,99",Donkerbeige,1679344035,https://www2.hm.com/nl_nl/productpage.1107623004.html,"Buitenlaag:Polyester 67%, Wol 33%
Voeringen:Polyester 56%, Viscose 44%",Materiaal: Twill,No New Arrival
Utilityjack van katoenen twill,"€ 42,99",Roomwit,1679344073,https://www2.hm.com/nl_nl/productpage.1131105002.html,Katoen 100%,"Materiaal: Katoen, Twill",New Arrival
Jurk met ingerimpelde naden,"€ 29,99",Roomwit,1679344111,https://www2.hm.com/nl_nl/productpage.1154173002.html,"Buitenlaag:Viscose 63%, Polyamide 32%, Elastaan 5%
Voeringen:Polyester 100%",Materiaal: Tricot,No New Arrival
Asymmetrische satijnen jurk,"€ 35,99",Wit/aardbeien,1679344149,https://www2.hm.com/nl_nl/productpage.1154676002.html,Viscose 100%,Materiaal: Satijn,New Arrival
Single-breasted blazer van linnenmix,"€ 40,99",Zwart,1679344188,https://www2.hm.com/nl_nl/productpage.1128713003.html,"Buitenlaag:Viscose 68%, Linnen 32%
Voeringen:Polyester 100%",No material,New Arrival
Ribgebreide top,"€ 20,99",Zwart,1679344226,https://www2.hm.com/nl_nl/productpage.1144655003.html,"Viscose 70%, Polyamide 30%",No material,No New Arrival
Oversized blouse van linnenmix,"€ 25,99",Donkerbruin,1679344264,https://www2.hm.com/nl_nl/productpage.1073662006.html,Linnen 100%,Materiaal: Linnen,Premium SelectionNew Arrival
Satijnen overhemdblouse,"€ 20,99",Roomwit/tijgerdessin,1679344302,https://www2.hm.com/nl_nl/productpage.1161343001.html,Polyester 100%,Materiaal: Satijn,New Arrival
Kort denim jack,"€ 39,99",Licht denimblauw,1679344341,https://www2.hm.com/nl_nl/productpage.1110112001.html,"Buitenlaag:Katoen 100%
Voering zak:Polyester 65%, Katoen 35%",Materiaal: Denim,No New Arrival
Top met pofmouwen,"€ 12,99",Roomwit/dessin,1679344379,https://www2.hm.com/nl_nl/productpage.1138084005.html,"Katoen 95%, Elastaan 5%","Materiaal: Katoen, Tricot",New Arrival
Sandaletten,"€ 25,99",Zwart,1679344417,https://www2.hm.com/nl_nl/productpage.1043268002.html,"Voeringen:Polyester 100%
Zool:Thermoplastisch polyurethaan 100%
Bovenkant:Polyester 100%",No material,No New Arrival
Linnen joggers,"€ 35,99",Zwart,1679344455,https://www2.hm.com/nl_nl/productpage.0954891002.html,"Buitenlaag:Linnen 100%
Voering zak:Katoen 100%",Materiaal: Linnen,No New Arrival
Rechte joggers,"€ 19,99",Zwart,1679344494,https://www2.hm.com/nl_nl/productpage.1128421001.html,"Katoen 62%, Polyester 38%",Materiaal: French Terry,No New Arrival
Geplooide jurk,"€ 40,99",Roomwit,1679344533,https://www2.hm.com/nl_nl/productpage.1145669001.html,"Buitenlaag:Polyester 100%
Voeringen:Polyester 100%",No material,New Arrival
Bikinitanga met strikbandjes,"€ 12,99",Wit/bloemen,1679344571,https://www2.hm.com/nl_nl/productpage.0963752007.html,"Buitenlaag:Polyamide 85%, Elastaan 15%
Voeringen:Polyester 88%, Elastaan 12%",No material,New Arrival
Geribde top,"€ 14,99",Kakigroen/gestreept,1679344609,https://www2.hm.com/nl_nl/productpage.1117220010.html,"Katoen 95%, Elastaan 5%",No material,New Arrival
Trenchcoat,"€ 59,99",Lichtgrijs,1679344647,https://www2.hm.com/nl_nl/productpage.1159657001.html,"Polyamide 69%, Katoen 27%, Elastaan 4%",No material,New Arrival
Bandeaubadpak - High leg,"€ 27,99",Black,1679344685,https://www2.hm.com/nl_nl/productpage.1140385001.html,"Voeringen:Polyester 88%, Elastaan 12%
Buitenlaag:Polyester 80%, Elastaan 20%",No material,New Arrival
Sandalen,"€ 30,99",Beige,1679344723,https://www2.hm.com/nl_nl/productpage.1134449002.html,"Bovenkant:Polyester 100%
Voeringen:Polyester 100%
Buitenzool:Ethyleenvinylacetaat 100%",No material,New Arrival
Katoenen T-shirt,"€ 6,99",Wit/zwart gestreept,1679344762,https://www2.hm.com/nl_nl/productpage.0963662089.html,Katoen 100%,"Materiaal: Katoen, Tricot",New Arrival
Sandalen met studs,"€ 64,99",Zwart,1679344800,https://www2.hm.com/nl_nl/productpage.1141353001.html,"Voeringen:Polyester 100%
Buitenzool:Ethyleenvinylacetaat 100%
Bovenkant:Leder 100%",No material,Premium SelectionNew Arrival
Jurk met plooien,"€ 30,99",Rood,1679344838,https://www2.hm.com/nl_nl/productpage.1142089002.html,Polyester 100%,No material,No New Arrival
Double-breasted blazer,"€ 54,99",Abrikoos,1679344876,https://www2.hm.com/nl_nl/productpage.1129645006.html,"Buitenlaag:Viscose 68%, Linnen 32%
Voeringen:Polyester 100%",No material,New Arrival
Wijde linnen broek,"€ 74,99",Zwart,1679344914,https://www2.hm.com/nl_nl/productpage.1174498001.html,"Buitenlaag:Linnen 100%
Voeringen:Lyocell 100%",Materiaal: Linnen,Premium SelectionNew Arrival
Broek van ribtricot,"€ 19,99",Zwart,1679344952,https://www2.hm.com/nl_nl/productpage.1169113001.html,"Polyester 73%, Viscose 18%, Elastaan 9%",Materiaal: Tricot,New Arrival
Canvas rok met ceintuur,"€ 24,99",Roomwit,1679344990,https://www2.hm.com/nl_nl/productpage.1154107001.html,Katoen 100%,Materiaal: Canvas,New Arrival
Body met structuur,"€ 12,99",Wit/dessin,1679345028,https://www2.hm.com/nl_nl/productpage.1154660004.html,"Voeringen:Polyester 87%, Elastaan 12%
Buitenlaag:Polyester 87%, Elastaan 13%",No material,New Arrival
Overslagjurk,"€ 30,99",Groenturkoois,1679345066,https://www2.hm.com/nl_nl/productpage.1138612004.html,Polyester 100%,No material,No New Arrival
Blazer met driekwart mouwen,"€ 39,99",Lichtblauw,1679345105,https://www2.hm.com/nl_nl/productpage.1038808004.html,"Buitenlaag:Polyester 63%, Viscose 33%, Elastaan 4%
Voeringen:Polyester 100%",No material,New Arrival
Badpak met padded cups,"€ 29,99",Wit/bloemen,1679345143,https://www2.hm.com/nl_nl/productpage.1032270008.html,"Voeringen:Polyester 88%, Elastaan 12%
Buitenlaag:Polyamide 87%, Elastaan 13%",No material,New Arrival
Overhemdblouse met puntkraag,"€ 19,99",Roomwit,1679345181,https://www2.hm.com/nl_nl/productpage.1086131001.html,Polyester 100%,Materiaal: Kant,No New Arrival
Rok van linnenmix,"€ 39,99",Roomwit/bloemen,1679345220,https://www2.hm.com/nl_nl/productpage.1153940001.html,"Linnen 55%, Katoen 45%",Materiaal: Linnen,New Arrival
Jurk van gebreide zijdemix,"€ 99,00",Lichtbeige,1679345258,https://www2.hm.com/nl_nl/productpage.1140226001.html,"Katoen 55%, Polyester 27%, Zijde 18%",Materiaal: Zijde,Premium SelectionNew Arrival
Seamless legging,"€ 15,99",Zwart,1679345296,https://www2.hm.com/nl_nl/productpage.1126452001.html,"Polyamide 88%, Elastaan 12%",Materiaal: Tricot,No New Arrival
Oversized top met geknoopt detail,"€ 29,99",Wit,1679345334,https://www2.hm.com/nl_nl/productpage.1173056002.html,Katoen 100%,Materiaal: Tricot,New Arrival
Oversized crinkleblouse,"€ 20,99",Cerise,1679345373,https://www2.hm.com/nl_nl/productpage.1136236003.html,Katoen 100%,Materiaal: Katoen,New Arrival
Geribde rok,"€ 19,99",Mintgroen,1679345411,https://www2.hm.com/nl_nl/productpage.1157818001.html,"Katoen 63%, Polyester 33%, Elastaan 4%",Materiaal: Tricot,New Arrival
Flared broek,"€ 25,99",Zwart,1679345449,https://www2.hm.com/nl_nl/productpage.1155258003.html,"Voering zak:Polyester 100%
Buitenlaag:Viscose 87%, Polyamide 13%",No material,New Arrival
Blouse met ballonmouwen,"€ 29,99",Blauw/gestreept,1679345487,https://www2.hm.com/nl_nl/productpage.1157250001.html,"Buitenlaag:Katoen 100%
Voering mouw:Polyester 100%",No material,New Arrival
Fijngebreide korsettop,"€ 15,99",Donkerbeige,1679345526,https://www2.hm.com/nl_nl/productpage.1135085003.html,"Viscose 70%, Polyamide 30%",No material,No New Arrival
MAMA Set van 2 katoenen tops,"€ 25,99",Zwart/gestreept,1679345564,https://www2.hm.com/nl_nl/productpage.1067183003.html,"Katoen 97%, Elastaan 3%","Materiaal: Katoen, Tricot",New Arrival
Blazer met ingerimpelde mouwen,"€ 40,99",Mintgroen,1679345603,https://www2.hm.com/nl_nl/productpage.1082177012.html,"Buitenlaag:Polyester 96%, Elastaan 4%
Voeringen:Polyester 100%",No material,New Arrival
Set van 4 no-show slips - Thong,"€ 17,99",Zwart,1679345642,https://www2.hm.com/nl_nl/productpage.1140240004.html,"Voering kruis:Katoen 100%
Buitenlaag:Polyamide 80%, Elastaan 20%",Materiaal: Tricot,New Arrival
Structuurgeweven overhemdblouse van tricot,"€ 19,99",Zwart,1679345680,https://www2.hm.com/nl_nl/productpage.1101052006.html,Polyester 100%,Materiaal: Tricot,No New Arrival
Volumineuze jurk,"€ 59,99",Groen,1679345719,https://www2.hm.com/nl_nl/productpage.1137412004.html,Polyester 100%,No material,New Arrival
Jurk van linnenmix met franje,"€ 54,99",Zwart,1679345757,https://www2.hm.com/nl_nl/productpage.1154384001.html,"Viscose 70%, Linnen 30%",No material,New Arrival
Pantalon,"€ 27,99",Zwart,1679345796,https://www2.hm.com/nl_nl/productpage.0988235004.html,"Buitenlaag:Polyester 67%, Viscose 29%, Elastaan 4%
Voering zak:Polyester 100%",No material,No New Arrival
Linnen pantalon,"€ 139,00",Lichtbeige,1679345834,https://www2.hm.com/nl_nl/productpage.1155237001.html,Linnen 100%,Materiaal: Linnen,Premium SelectionNew Arrival
Overhemdblouse van linnenmix,"€ 24,99",Roze,1679345872,https://www2.hm.com/nl_nl/productpage.1027844020.html,"Linnen 52%, Katoen 48%",No material,New Arrival
Structuurgeweven blazer,"€ 69,99",Zwart,1679345910,https://www2.hm.com/nl_nl/productpage.1162895001.html,"Voeringen:Polyester 100%
Buitenlaag:Polyester 98%, Elastaan 2%",No material,New Arrival
Satijnen slip-on jurk,"€ 24,99",Zwart,1679345948,https://www2.hm.com/nl_nl/productpage.1149925003.html,Polyester 100%,Materiaal: Satijn,New Arrival
Pantalon,"€ 20,99",Lichtgroen,1679345987,https://www2.hm.com/nl_nl/productpage.0751471098.html,"Katoen 52%, Polyester 45%, Elastaan 3%",No material,New Arrival
Denim jack met print,"€ 39,99",Denimblauw/bloemen,1679346025,https://www2.hm.com/nl_nl/productpage.1158510001.html,Katoen 100%,"Materiaal: Katoen, Denim",New Arrival
Cropped tanktop,"€ 9,99",Roomwit,1679346063,https://www2.hm.com/nl_nl/productpage.1131785003.html,"Polyester 94%, Elastaan 6%",Materiaal: Tricot,New Arrival
Top van zijdemix,"€ 30,99",Lichtgroen,1679346102,https://www2.hm.com/nl_nl/productpage.0776746034.html,"Zijde 50%, Katoen 50%","Materiaal: Zijde, Tricot",Premium SelectionNew Arrival
Blazer met rimpeleffect,"€ 40,99",Zwart,1679346140,https://www2.hm.com/nl_nl/productpage.1036121001.html,"Buitenlaag:Polyester 100%
Voeringen:Polyester 100%",No material,No New Arrival
